"name","city","state","zip","phone","website","instagram","email","email_source","google_review_count","google_star_rating","address","gbp_url","categories","top_competitor_1_name","top_competitor_1_reviews","top_competitor_1_stars","top_competitor_1_distance","top_competitor_2_name","top_competitor_2_reviews","top_competitor_2_stars","top_competitor_2_distance","top_competitor_3_name","top_competitor_3_reviews","top_competitor_3_stars","top_competitor_3_distance","notes","call_status","call_attempts","last_attempted"
"Alani Skin MD","Mesa","Arizona","85206","(480) 397-0278","https://alaniskinmd.com/locations/mesa-az/?utm_source=GBP&utm_medium=GBP&utm_campaign=gbp+mesa","","mesa@alaniskinmd.com","contact_page","1394","4.9","3850 E Baseline Rd STE 109, Mesa, AZ 85206","https://www.google.com/maps/search/?api=1&query=Alani%20Skin%20MD&query_place_id=ChIJ7_30ICavK4cRdC_Yv72Dbyk","Medical spa; Facial spa; Laser hair removal service; Spa","Frost Aesthetics & Wellness","289","5.0","1.28","Karma Aesthetics and Wellness","274","5.0","1.86","Kulture Aesthetics","91","5.0","1.67","","not_called","0",""
"Vitality Med Spa","Mesa","Arizona","85213","(480) 854-8000","http://www.vitalitymedspa.com/arizona-weight-loss-clinic/mesa-az-med-spa/","","mesavitality@gmail.com","contact_page","170","4.8","1955 N Val Vista Dr #101, Mesa, AZ 85213","https://www.google.com/maps/search/?api=1&query=Vitality%20Med%20Spa&query_place_id=ChIJ7eMPhpSlK4cRXJykeGFl0J0","Medical spa; Medical clinic","LaVida MedSpa of Mesa","376","4.9","4.18","Frost Aesthetics & Wellness","289","5.0","3.91","Valley Aesthetics","69","4.6","4.39","","not_called","0",""
"SKINovative","Gilbert","Arizona","85295","(480) 917-7546","http://www.gilbertmedspa.com/","","","","336","4.9","2557 S Val Vista Dr STE 101, Gilbert, AZ 85295","https://www.google.com/maps/search/?api=1&query=SKINovative&query_place_id=ChIJVZENS3GsK4cRy4tz5IAsDyU","Skin care clinic; Nutritionist","Heyday Skincare Gilbert","779","5.0","0.73","Skin Ritual","407","4.9","0.06","Derma Health","348","4.9","0.44","","not_called","0",""
"Cleanse Modern Day Spa","Gilbert","Arizona","85296","(480) 420-3977","http://www.cleansemoderndayspa.com/","","","","454","5.0","1090 S Gilbert Rd Suite 106, Gilbert, AZ 85296","https://www.google.com/maps/search/?api=1&query=Cleanse%20Modern%20Day%20Spa&query_place_id=ChIJvbjKCMGpK4cRB3eW59LKHcQ","Day spa; Facial spa; Massage spa; Skin care clinic; Spa","Raise The Bar Med Spa","238","5.0","2.18","Bonita Aesthetics & Wellness","124","5.0","0.0","Bloom AZ Med Spa","122","5.0","0.07","","not_called","0",""
"McAuley & Co Aesthetics","Mesa","Arizona","85206","(480) 934-0199","http://mcauleyco.com/","","hello@mcauleyco.com","contact_page","64","5.0","6642 E Baseline Rd STE 104, Mesa, AZ 85206","https://www.google.com/maps/search/?api=1&query=McAuley%20%26%20Co%20Aesthetics&query_place_id=ChIJyYx2RuKpK4cRVe9u0pWHvCI","Medical spa","Alani Skin MD","1394","4.9","3.33","Frost Aesthetics & Wellness","289","5.0","2.92","Karma Aesthetics and Wellness","274","5.0","1.7","","not_called","0",""
"Viva MD","Atlanta","Georgia","30305","(404) 618-4142","https://www.vivamd.org/","","info@vivamdclinic.com","contact_page","129","5.0","3091 E Shadowlawn Ave NE, Atlanta, GA 30305","https://www.google.com/maps/search/?api=1&query=Viva%20MD&query_place_id=ChIJAYZS5lwT9YgRFrZjXrHOIPc","Medical spa; Beauty salon; Dermatologist; Hair replacement service; Medical clinic; Skin care clinic; Weight loss service","OVME","464","4.7","0.13","Ecobel Med Spa","412","4.8","0.19","Skin Pharm","323","5.0","0.1","","not_called","0",""
"SLM Medspa","Atlanta","Georgia","30318","(678) 820-1020","https://www.slmmedspa.com/","","info@slmmedspa.com","contact_page","100","4.9","1465 Howell Ml Rd Ste 200A, Atlanta, GA 30318","https://www.google.com/maps/search/?api=1&query=SLM%20Medspa&query_place_id=ChIJ6-uzHRAF9YgRJYqIHQ1MCB8","Medical spa; Eyelash salon; Facial spa; Hair removal service; Skin care clinic; Waxing hair removal service","4Ever Young Med Spa & Wellness Center - Atlanta Midtown","1167","5.0","1.68","AYA Medical Spa Colony Square - Midtown","211","4.8","1.9","Truffles Aesthetics","130","4.9","1.96","","not_called","0",""
"Derm Clinic M.D.","Atlanta","Georgia","30342","(404) 937-3760","https://www.dermclinicmd.com/","","dermclinicmktg@gmail.com","contact_page","302","5.0","Tuxedo Atrium, 3833 Roswell Rd NE Suite 108, Atlanta, GA 30342","https://www.google.com/maps/search/?api=1&query=Derm%20Clinic%20M.D.&query_place_id=ChIJo1r7sWgP9YgRpuWEQKTQ3fw","Medical spa; Plastic surgery clinic; Skin care clinic","NYAH Med Spa","323","4.4","0.48","SkynBar","286","5.0","0.14","SkinSpirit Buckhead","146","4.9","1.02","","not_called","0",""
"Slim Studio FACE & BODY","Atlanta","Georgia","30305","(404) 410-7777","https://slimstudioatlanta.com/","","","","196","4.8","56 E Andrews Dr NW Suite 11, Atlanta, GA 30305","https://www.google.com/maps/search/?api=1&query=Slim%20Studio%20FACE%20%26%20BODY&query_place_id=ChIJQyIJhxkP9YgRH_SxnMgaEgo","Medical spa","OVME","464","4.7","0.34","Artisan Beauté - Buckhead","412","4.9","0.15","Blue Divine Aesthetics","328","4.6","0.17","","not_called","0",""
"Esthetic Solutions Med Spa","Scottsdale","Arizona","85253","(480) 280-6062","https://estheticsolutions.com/","","operations@estheticsolutions.com","contact_page","99","4.8","10201 N Scottsdale Rd #9, Scottsdale, AZ 85253","https://www.google.com/maps/search/?api=1&query=Esthetic%20Solutions%20Med%20Spa&query_place_id=ChIJUcI8UqILK4cRxvZNBdV6bmQ","Medical spa; Beauty product supplier; Beauty supply store; Cosmetics industry; Cosmetics store; Health and beauty shop; Spa; Wellness center","Inside Out Aesthetics","1003","5.0","0.58","Center for Aesthetic and Laser Medicine Scottsdale","333","4.9","0.52","Scottsdale Sculpt","169","4.9","0.85","","not_called","0",""
"Karma Aesthetics and Wellness","Mesa","Arizona","85206","(480) 369-1870","https://karmaaestheticsandwellness.com/","","","","274","5.0","1423 S Higley Rd STE 103, Mesa, AZ 85206","https://www.google.com/maps/search/?api=1&query=Karma%20Aesthetics%20and%20Wellness&query_place_id=ChIJ1ZZUN5axK4cRxo-dwxwzk6Y","Medical spa","Alani Skin MD","1394","4.9","1.86","Frost Aesthetics & Wellness","289","5.0","1.22","Kulture Aesthetics","91","5.0","3.49","","not_called","0",""
"KORA Aesthetics","Scottsdale","AZ","85253","(480) 630-7566","https://koraaesthetics.com/","","","","73","5.0","Inside “Otto, 10505 N 69th St #1300, Scottsdale, AZ 85253","https://www.google.com/maps/search/?api=1&query=KORA%20Aesthetics&query_place_id=ChIJee6LqHNy9asRsBXDBO3P5Xg","Medical spa; Skin care clinic; Wellness center","Inside Out Aesthetics","1003","5.0","0.22","Center for Aesthetic and Laser Medicine Scottsdale","333","4.9","0.49","Scottsdale Sculpt","169","4.9","1.06","","not_called","0",""
"Sachi Aesthetics","Scottsdale","Arizona","85258","(480) 454-8188","https://sachiaesthetics.com/","","","","84","4.9","8370 East Vía de Ventura K205, Scottsdale, AZ 85258","https://www.google.com/maps/search/?api=1&query=Sachi%20Aesthetics&query_place_id=ChIJf7Bnhh4LK4cRwGvRpPPKT7A","Medical spa; Skin care clinic","ZONA MED SPA","532","4.9","1.71","Aesthetic Assets","349","5.0","0.61","Elite Medspa Scottsdale","324","4.8","1.7","","not_called","0",""
"Flawless Reflections Body and Skin Therapy LLC","Mesa","Arizona","85212","(480) 659-9828","https://www.flawlessreflections.com/","","ContactUs@Flawless-Reflections.com","contact_page","477","4.9","4425 S Mountain Rd #103, Mesa, AZ 85212","https://www.google.com/maps/search/?api=1&query=Flawless%20Reflections%20Body%20and%20Skin%20Therapy%20LLC&query_place_id=ChIJy1K9MpSzK4cR9gsyS0vQxYE","Medical spa; Beauty product supplier; Eyebrow bar; Eyelash salon; Facial spa; Hair removal service; Laser hair removal service; Massage spa; Skin care clinic; Tattoo removal service","Skinfinity Medspa","185","4.9","6.82","The Beauty Lab Medical Aesthetics","156","5.0","4.78","The Beauty Boss Co.","119","5.0","7.6","","not_called","0",""
"Beverly Hills Rejuvenation Center - Paradise Valley","Phoenix","Arizona","85028","(480) 398-8400","https://www.bhrcenter.com/location/paradise-valley-az/","","","","125","4.9","10633 N Tatum Blvd Ste 104, Phoenix, AZ 85028","https://www.google.com/maps/search/?api=1&query=Beverly%20Hills%20Rejuvenation%20Center%20-%20Paradise%20Valley&query_place_id=ChIJY4a7yjdzK4cR1DU4_Hl2wTU","Medical spa; Health spa; Laser hair removal service; Skin care clinic; Wellness center","Inside Out Aesthetics","1003","5.0","2.5","The Connection","174","4.7","0.06","SkinSpirit Paradise Valley","146","5.0","1.28","","not_called","0",""
"Scottsdale Sculpt","Scottsdale","Arizona","85253","(623) 414-9025","http://scottsdalesculpt.com/","","anapbm@gmail.com","contact_page","169","4.9","8787 N Scottsdale Rd Suite a 105, Scottsdale, AZ 85253","https://www.google.com/maps/search/?api=1&query=Scottsdale%20Sculpt&query_place_id=ChIJRWnhv0V1K4cRoK4sttNeya0","Medical spa; Laser hair removal service; Skin care clinic","Inside Out Aesthetics","1003","5.0","1.28","Center for Aesthetic and Laser Medicine Scottsdale","333","4.9","1.37","Esthetic Solutions Med Spa","99","4.8","0.85","","not_called","0",""
"Clear Dermatology & Aesthetics Center - Paradise Valley","Paradise Valley","Arizona","85253","(480) 398-1550","http://cleardermatology.net/","","info@cleardermatology.net","contact_page","831","4.9","7125 E Lincoln Dr Suite A101, Paradise Valley, AZ 85253","https://www.google.com/maps/search/?api=1&query=Clear%20Dermatology%20%26%20Aesthetics%20Center%20-%20Paradise%20Valley&query_place_id=ChIJz-YIcTMLK4cR-5fTPcoLGwk","Medical spa; Laser hair removal service; Dermatologist; Skin care clinic","Skin Beautiful","562","5.0","2.24","Esthetic Finesse","553","5.0","0.95","Perfect Dose","427","5.0","0.18","","not_called","0",""
"Aesthetic Assets","Scottsdale","Arizona","85258","(480) 699-8089","https://aestheticassets.com//?utm_source=google&utm_medium=organic&utm_campaign=gbp-website","","","","349","5.0","8415 N Pima Rd #115, Scottsdale, AZ 85258","https://www.google.com/maps/search/?api=1&query=Aesthetic%20Assets&query_place_id=ChIJDadBk8J1K4cR5jyyYh9Mb3k","Medical spa","ZONA MED SPA","532","4.9","1.24","Profile Aesthetics","141","5.0","1.58","Derma Health Skin & Laser","128","4.9","1.59","","not_called","0",""
"Elase Medical Spa - South Tampa","Tampa","Florida","33629","(813) 921-8770","https://elase.com/locations/south-tampa/?UTM_source=GMB_listing&UTM_medium=organic&utm_campaign=southtampa","","southtampa@elase.com","contact_page","160","4.9","1155 S Dale Mabry Hwy #8, Tampa, FL 33629","https://www.google.com/maps/search/?api=1&query=Elase%20Medical%20Spa%20-%20South%20Tampa&query_place_id=ChIJ4QnfbmLDwogRmsptZCmSDCU","Medical spa; Facial spa; Hair replacement service; Skin care clinic","Skin NV Tampa Med Spa","607","4.8","0.39","Viso Juvé","348","5.0","1.03","BevelUp Midtown","324","4.8","1.43","","not_called","0",""
"Skin NV Tampa Med Spa","Tampa","Florida","33609","(813) 839-4141","http://www.skinnv.com/","","info@skinnv.com","contact_page","607","4.8","3715 W Swann Ave, Tampa, FL 33609","https://www.google.com/maps/search/?api=1&query=Skin%20NV%20Tampa%20Med%20Spa&query_place_id=ChIJuQ6TcSjDwogR1VIRi1F8crA","Medical spa; Facial spa; Laser hair removal service; Skin care clinic","Viso Juvé","348","5.0","1.41","BevelUp Midtown","324","4.8","1.05","Elevate Medical Spa","265","5.0","1.27","","not_called","0",""
"Center for Dermatology & Plastic Surgery","Paradise Valley","Arizona","85253","(480) 905-8485","https://azcdps.com/?utm_source=gbp&utm_medium=organic&utm_campaign=website_link&y_source=1_NjYyNDA0ODktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","","","","154","4.8","5206 N Scottsdale Rd, Paradise Valley, AZ 85253","https://www.google.com/maps/search/?api=1&query=Center%20for%20Dermatology%20%26%20Plastic%20Surgery&query_place_id=ChIJKdiEI5ULK4cRaetdg0SZXig","Skin care clinic; Plastic surgeon; Dermatologist","Clear Dermatology & Aesthetics Center - Paradise Valley","831","4.9","1.21","Nude Aesthetics Med Spa Scottsdale","566","5.0","1.12","Skin Beautiful","562","5.0","1.03","","not_called","0",""
"Valley Aesthetics","Mesa","Arizona","85204","(480) 779-4008","https://valleyaesthetics.com/","","","","69","4.6","1121 S Gilbert Rd UNIT 102, Mesa, AZ 85204","https://www.google.com/maps/search/?api=1&query=Valley%20Aesthetics&query_place_id=ChIJi8y1t7upK4cRLjIhB_JdFKc","Medical spa","Alani Skin MD","1394","4.9","2.48","Pure MedSpa","118","4.9","2.17","Kulture Aesthetics","91","5.0","1.28","","not_called","0",""
"Esthetic Finesse","Paradise Valley","Arizona","85253","(480) 908-9695","http://estheticfinesse.com/gbp","","hello@estheticfinesse.com","contact_page","553","5.0","5520 N 69th Pl, Paradise Valley, AZ 85253","https://www.google.com/maps/search/?api=1&query=Esthetic%20Finesse&query_place_id=ChIJVVVFcHQLK4cR0tkTHotF6U8","Medical spa; Medical Center; Skin care clinic; Wellness center","Clear Dermatology & Aesthetics Center - Paradise Valley","831","4.9","0.95","Nude Aesthetics Med Spa Scottsdale","566","5.0","1.49","Skin Beautiful","562","5.0","1.4","","not_called","0",""
"Cell Renew Medical Spa Downtown","Tampa","Florida","33602","(813) 600-0666","https://www.cellrenewtampa.com/","","admin@cellrenewtampa.com","contact_page","427","4.9","1212 E Whiting St UNIT 102, Tampa, FL 33602","https://www.google.com/maps/search/?api=1&query=Cell%20Renew%20Medical%20Spa%20Downtown&query_place_id=ChIJqz_bi9_FwogRFZSIEVMY96k","Medical spa; Cosmetics store; Dermatologist; Health spa; Laser hair removal service; Aged care; Skin care clinic; Spa","SOHO Wellness & Med Spa | Tampa","752","4.8","1.36","ÉLAN Aesthetics","438","5.0","1.86","BevelUp Midtown","324","4.8","3.51","","not_called","0",""
"The Connection","Phoenix","Arizona","85028","","https://kalologie.com/our-locations/kalologie-in-paradise-valley","","","","174","4.7","4740 E Shea Blvd Suite 106, Phoenix, AZ 85028","https://www.google.com/maps/search/?api=1&query=The%20Connection&query_place_id=ChIJoS1WZy6vK4cR-8rPIASkrzs","Medical spa; IV therapy service","Inside Out Aesthetics","1003","5.0","2.54","SkinSpirit Paradise Valley","146","5.0","1.3","Beverly Hills Rejuvenation Center - Paradise Valley","125","4.9","0.06","","not_called","0",""
"Deluxe Med Spa Beauty","Miami","Florida","33130","(786) 901-0611","https://deluxemedspabeauty.com/","","","","267","4.9","Downtown 1st, 30 SW 1st St #1001, Miami, FL 33130","https://www.google.com/maps/search/?api=1&query=Deluxe%20Med%20Spa%20Beauty&query_place_id=ChIJ9QShWb232YgRErcFd8RYjwc","Medical spa","Sisu Clinic Miami","342","4.9","0.38","DinStyle Aesthetics Services BRICKELL","151","4.6","0.43","Bella Vida Aesthetics & Wellness","150","4.8","0.2","","not_called","0",""
"EVO Medical Spa","Tampa","Florida","33606","(813) 425-5005","https://www.evomedicalspa.com/","","","","102","5.0","1001 W Cleveland St, Tampa, FL 33606","https://www.google.com/maps/search/?api=1&query=EVO%20Medical%20Spa&query_place_id=ChIJo1DPyNfFwogRsJutxlTjEC0","Medical spa; Wellness center","SOHO Wellness & Med Spa | Tampa","752","4.8","0.09","Skin NV Tampa Med Spa","607","4.8","2.17","ÉLAN Aesthetics","438","5.0","0.52","","not_called","0",""
"Luminescence Aesthetic Medicine","Chandler","Arizona","85226","(480) 785-1746","https://www.luminescenceaz.com/","","","","161","5.0","40 S Kyrene Rd Ste 1, Chandler, AZ 85226","https://www.google.com/maps/search/?api=1&query=Luminescence%20Aesthetic%20Medicine&query_place_id=ChIJmd9a1nwEK4cRdo-aJsD2UPk","Medical spa; Facial spa; Laser hair removal service; Skin care clinic","Peach Skin & Laser","1420","4.9","2.41","Dolce Medical Spa - Tempe","385","5.0","2.85","NEOS Med Spa Tempe","165","4.9","2.98","","not_called","0",""
"Aspire MedSpa & Beauty Bar","Tampa","Florida","33618","(813) 738-8770","https://aspiremedspas.com/","","","","680","4.9","12932 N Dale Mabry Hwy, Tampa, FL 33618","https://www.google.com/maps/search/?api=1&query=Aspire%20MedSpa%20%26%20Beauty%20Bar&query_place_id=ChIJo6gGK7zBwogR3wZhH2o8WGg","Medical spa; Facial spa; Laser hair removal service","SOHO Wellness & Med Spa | Tampa","752","4.8","8.59","BevelUp Midtown","324","4.8","7.68","Tre Medspa","263","4.8","7.1","","not_called","0",""
"BevelUp Midtown","Tampa","Florida","33607","(813) 807-7200","https://bevelup.com/","","hello@bevelup.com","contact_page","324","4.8","3720 Midtown Dr, Tampa, FL 33607","https://www.google.com/maps/search/?api=1&query=BevelUp%20Midtown&query_place_id=ChIJ_aXOM2DDwogR-7jXrYXY9VY","Medical spa; Day spa; Facial spa; Health spa; IV therapy service; Medical clinic; Permanent make-up clinic; Plastic surgery clinic; Skin care clinic; Wellness center","Skin NV Tampa Med Spa","607","4.8","1.05","ÉLAN Aesthetics","438","5.0","2.06","VIVIFY Med Spa","168","4.9","2.16","","not_called","0",""
"Silk Med Spa","Tampa","Florida","33629","(813) 548-3520","http://www.silkmedspatampa.com/","","contact@silklaserhair.com","contact_page","91","5.0","3902 Henderson Blvd #205, Tampa, FL 33629","https://www.google.com/maps/search/?api=1&query=Silk%20Med%20Spa&query_place_id=ChIJFW845TnFwogRUc2Xfd2Wsps","Skin care clinic; Facial spa; Laser hair removal service","Skin NV Tampa Med Spa","607","4.8","0.5","Viso Juvé","348","5.0","0.91","BevelUp Midtown","324","4.8","1.52","","not_called","0",""
"Elevate Medical Spa","Tampa","Florida","33629","(813) 765-4416","http://elevatetpa.com/","","ampa@elevatetpa.com","contact_page","265","5.0","2605 S MacDill Ave Suite C, Tampa, FL 33629","https://www.google.com/maps/search/?api=1&query=Elevate%20Medical%20Spa&query_place_id=ChIJ-WuXrvjDwogRNsE1VON_ct8","Medical spa","Skin NV Tampa Med Spa","607","4.8","1.27","ÉLAN Aesthetics","438","5.0","1.56","Viso Juvé","348","5.0","1.36","","not_called","0",""
"ÉLAN Aesthetics","Tampa","Florida","33606","(813) 440-8743","http://elan-aesthetics.com/","","user@domain.com","contact_page","438","5.0","1503 W Swann Ave, Tampa, FL 33606","https://www.google.com/maps/search/?api=1&query=%C3%89LAN%20Aesthetics&query_place_id=ChIJFW3-F-nFwogRxGHOVpfMKTw","Medical spa","SOHO Wellness & Med Spa | Tampa","752","4.8","0.61","Skin NV Tampa Med Spa","607","4.8","1.81","Cell Renew Medical Spa Downtown","427","4.9","1.86","","not_called","0",""
"Opulent Med Spa","Tampa","Florida","33611","(813) 443-0085","https://theopulentmedspa.com/","","","","98","4.8","5244 Bridge St, Tampa, FL 33611","https://www.google.com/maps/search/?api=1&query=Opulent%20Med%20Spa&query_place_id=ChIJ37Wb3FHdwogRe7EVm-GbeTo","Medical spa; Facial spa; Weight loss service","Skin NV Tampa Med Spa","607","4.8","3.67","Viso Juvé","348","5.0","2.27","Elevate Medical Spa","265","5.0","3.13","","not_called","0",""
"The Atlanta Aesthetician ""Aesthetics of Atlanta","Atlanta","Georgia","30328","(470) 730-4660","http://atlantaaesthetician.com/","","","","71","4.5","6160 Peachtree Dunwoody Rd NE suite A 105, Atlanta, GA 30328","https://www.google.com/maps/search/?api=1&query=The%20Atlanta%20Aesthetician%20%22Aesthetics%20of%20Atlanta&query_place_id=ChIJG8OYM8wF9YgRF9D74nxgwZU","Medical spa; Facial spa; Laser hair removal service; Skin care clinic; Wellness center","WIFH","378","4.9","0.18","Lifespring Antiaging & Aesthetic Medicine","324","4.2","0.62","CULT Aesthetics","292","5.0","0.49","","not_called","0",""
"Get Refreshed","Miami","Florida","33145","(305) 988-9504","https://www.getrefreshed.com/","","info@getrefreshed.life","contact_page","237","4.6","2455 SW 27th Ave Suite 200, Miami, FL 33145","https://www.google.com/maps/search/?api=1&query=Get%20Refreshed&query_place_id=ChIJEZ22toSy2YgRGHFuhlzVi2E","Medical spa","BEIAMED MEDSPA & CLINIC","426","4.6","0.53","Azala Skin Clinic","410","4.9","1.31","Medilight Aesthetic Clinic - Coral Gables","138","4.9","1.31","","not_called","0",""
"Viso Juvé","Tampa","Florida","33629","(813) 374-1574","https://visojuve.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb","","","","348","5.0","4247 W Bay to Bay Blvd, Tampa, FL 33629","https://www.google.com/maps/search/?api=1&query=Viso%20Juv%C3%A9&query_place_id=ChIJI7ABRSzDwogR2gOsCUt-13k","Medical spa; Dermatologist; Esthetics service; Facial spa; Laser hair removal service","Skin NV Tampa Med Spa","607","4.8","1.41","Elevate Medical Spa","265","5.0","1.36","Elase Medical Spa - South Tampa","160","4.9","1.03","","not_called","0",""
"SOHO Wellness & Med Spa | Tampa","Tampa","Florida","33606","(813) 512-6920","https://soho-wellness.com/","","","","752","4.8","103 S Boulevard, Tampa, FL 33606","https://www.google.com/maps/search/?api=1&query=SOHO%20Wellness%20%26%20Med%20Spa%20%7C%20Tampa&query_place_id=ChIJf330iYTEwogRieyLXpjenTU","Medical spa; Day spa; Spa","ÉLAN Aesthetics","438","5.0","0.61","Cell Renew Medical Spa Downtown","427","4.9","1.36","BevelUp Midtown","324","4.8","2.23","","not_called","0",""
"Tre Medspa","Tampa","Florida","33626","(813) 749-0918","http://www.tremedspa.com/","","info@tremedspa.com","contact_page","263","4.8","11013 Countryway Blvd, Tampa, FL 33626","https://www.google.com/maps/search/?api=1&query=Tre%20Medspa&query_place_id=ChIJJ4TqDAzrwogRKCwooxetzr0","Medical spa","Ultimate Image Cosmetic Medical Center","327","4.6","5.97","The Garden Medical Spa, Wellness & Massage","207","4.6","5.46","Revive Medical Spa LLC.","160","5.0","5.99","","not_called","0",""
"Slater Aesthetics & Anti-Aging","Atlanta","Georgia","30342","(770) 777-7707","https://slateraesthetics.com/?utm_campaign=gmb","","drslaterclinic@gmail.com","contact_page","232","4.9","4840 Roswell Rd NE, Atlanta, GA 30342","https://www.google.com/maps/search/?api=1&query=Slater%20Aesthetics%20%26%20Anti-Aging&query_place_id=ChIJAZBtbhwP9YgRTQOm4vzj5iM","Medical spa; Facial spa; Hair transplantation clinic; Laser hair removal service; Skin care clinic; Plastic surgery clinic; Reproductive health clinic; Weight loss service; Wellness center; Wellness program","Charette Cosmetics Medical Spa - Atlanta","2480","4.9","1.8","SkynBar","286","5.0","1.82","LUX Med Spa","170","4.8","0.3","","not_called","0",""
"SkynBar","Atlanta","Georgia","30342","(470) 305-5850","https://skynbaratlanta.com/","","","","286","5.0","3872 Roswell Rd NE Suite D4, Atlanta, GA 30342","https://www.google.com/maps/search/?api=1&query=SkynBar&query_place_id=ChIJOx9qzmAP9YgRbdG7imrm7FQ","Medical spa; Facial spa; Skin care clinic","NYAH Med Spa","323","4.4","0.61","Derm Clinic M.D.","302","5.0","0.14","SkinSpirit Buckhead","146","4.9","1.15","","not_called","0",""
"LJ Aesthetics Medicine, LLC","St. Petersburg","Florida","33704","(727) 201-2471","http://www.ljaestheticsmed.com/","","info@ljaestheticsmed.com","contact_page","219","5.0","1535 Dr M.L.K. Jr St N, St. Petersburg, FL 33704","https://www.google.com/maps/search/?api=1&query=LJ%20Aesthetics%20Medicine%2C%20LLC&query_place_id=ChIJlZJRmGvhwogR2BTeqY1NYWU","Medical spa","Glow St. Pete Med Spa","985","5.0","0.95","Coco Med Spa","351","5.0","0.56","Sunshine City Med Spa","196","5.0","0.46","","not_called","0",""
"dermani MEDSPA® Vinings","Atlanta","Georgia","30339","(770) 884-8102","https://dermanimedspa.com/vinings-ga/","","vinings@dermanimedspa.com","contact_page","447","4.9","4300 Paces Ferry Rd SE Suite 245, Atlanta, GA 30339","https://www.google.com/maps/search/?api=1&query=dermani%20MEDSPA%C2%AE%20Vinings&query_place_id=ChIJQ4xy-G4Q9YgRllWerAvmK2E","Medical spa; Facial spa; Laser hair removal service","Buckhead Facial Plastic Surgery: Theresa M. Jarmuz, MD","292","4.8","2.52","Chin Up! Aesthetics Atlanta","134","5.0","0.98","Amerejuve MedSpa Marietta, GA - Laser Hair Removal, CoolSculpting, Botox & Facials","122","4.5","3.16","","not_called","0",""
"Glow St. Pete Med Spa","St. Petersburg","Florida","33704","(727) 212-6989","http://www.glowstpete.com/","","beautiful@glowstpete.com","contact_page","985","5.0","2901 4th St N, St. Petersburg, FL 33704","https://www.google.com/maps/search/?api=1&query=Glow%20St.%20Pete%20Med%20Spa&query_place_id=ChIJ6WmuwRbhwogRxrxbNz4s-ss","Medical spa","Coco Med Spa","351","5.0","1.05","LJ Aesthetics Medicine, LLC","219","5.0","0.95","Sunshine City Med Spa","196","5.0","0.61","","not_called","0",""
"St Pete Wellness & MedSpa","St. Petersburg","Florida","33701","(727) 873-0500","https://www.stpetewellnessmedspa.com/","","stpetemedspa@gmail.com","contact_page","1745","5.0","Plaza Tower, 111 2nd Ave NE Suite 1405, Floor-14, St. Petersburg, FL 33701","https://www.google.com/maps/search/?api=1&query=St%20Pete%20Wellness%20%26%20MedSpa&query_place_id=ChIJL3EWrgfhwogRSjqZ97c7rfg","Medical spa; Day spa; Facial spa; Massage spa","Coco Med Spa","351","5.0","0.68","LJ Aesthetics Medicine, LLC","219","5.0","1.17","Moxy Medical Spa","180","5.0","0.96","","not_called","0",""
"Sunshine City Med Spa","St. Petersburg","Florida","33704","(727) 344-9201","https://www.sunshinecityma.com/","","Mandy@sunshinecitymedspa.com","contact_page","196","5.0","2323 Dr M.L.K. Jr St N, St. Petersburg, FL 33704","https://www.google.com/maps/search/?api=1&query=Sunshine%20City%20Med%20Spa&query_place_id=ChIJL075ll7hwogRV-5tmZGZO04","Medical spa","Glow St. Pete Med Spa","985","5.0","0.61","Coco Med Spa","351","5.0","0.87","LJ Aesthetics Medicine, LLC","219","5.0","0.46","","not_called","0",""
"iConcierge Med Spa","St. Petersburg","Florida","33702","(727) 295-6779","https://iconciergemedspa.com/","","info@iconciergemedspa.com","contact_page","380","5.0","455 99th Ave N, St. Petersburg, FL 33702","https://www.google.com/maps/search/?api=1&query=iConcierge%20Med%20Spa&query_place_id=ChIJ4esqA1rvwogRuZKzPis-dUc","Medical spa; Facial spa; Laser hair removal service; Skin care clinic; Weight loss service; Wellness center","Glow St. Pete Med Spa","985","5.0","4.43","Skinspirations","307","4.9","2.61","Indulgence Medical Day Spa","277","4.9","0.46","","not_called","0",""
"Venus Med Spa","Tampa","Florida","33609","(813) 774-5754","http://www.venusmedspa.com/","","","","104","4.8","405 S Dale Mabry Hwy, Tampa, FL 33609","https://www.google.com/maps/search/?api=1&query=Venus%20Med%20Spa&query_place_id=ChIJ9yhXqlbCwogR6af_x7gIhXc","Medical spa","Skin NV Tampa Med Spa","607","4.8","0.23","Viso Juvé","348","5.0","1.56","BevelUp Midtown","324","4.8","0.85","","not_called","0",""
"Elase Medical Spa - St. Pete","St. Petersburg","Florida","33713","(727) 620-2977","https://elase.com/locations/st-pete/?UTM_source=GMB_listing&UTM_medium=organic&utm_campaign=stpete","","stpete@elase.com","contact_page","119","5.0","2299 9th Ave N #1b, St. Petersburg, FL 33713","https://www.google.com/maps/search/?api=1&query=Elase%20Medical%20Spa%20-%20St.%20Pete&query_place_id=ChIJIc0XUPbjwogR67H-WHFBHGU","Medical spa; Facial spa; Skin care clinic","LJ Aesthetics Medicine, LLC","219","5.0","1.11","AR Aesthetics","164","5.0","0.94","Optimal Wellness St. Pete","136","5.0","0.88","","not_called","0",""
